origin_code,sum
8a194ac02daffff,0
8a194ac02db7fff,0
8a194ac03007fff,0
8a194ac0300ffff,0
8a194ac03017fff,0
8a194ac0301ffff,0
8a194ac03027fff,0
8a194ac0302ffff,0
8a194ac03037fff,0
8a194ac03047fff,0
8a194ac0304ffff,0
8a194ac03057fff,0
8a194ac0305ffff,0
8a194ac03067fff,0
8a194ac0306ffff,0
8a194ac03077fff,0
8a194ac03087fff,736
8a194ac0308ffff,1281
8a194ac03097fff,0
8a194ac0309ffff,0
8a194ac030a7fff,0
8a194ac030affff,494
8a194ac030b7fff,0
8a194ac030c7fff,305
8a194ac030cffff,0
8a194ac030d7fff,0
8a194ac030dffff,628
8a194ac030e7fff,0
8a194ac030effff,0
8a194ac030f7fff,0
8a194ac03107fff,0
8a194ac0310ffff,0
8a194ac03117fff,0
8a194ac0311ffff,0
8a194ac03127fff,0
8a194ac0312ffff,0
8a194ac03137fff,0
8a194ac03147fff,0
8a194ac0314ffff,0
8a194ac03157fff,0
8a194ac0315ffff,0
8a194ac03167fff,0
8a194ac0316ffff,0
8a194ac03177fff,0
8a194ac03187fff,26
8a194ac0318ffff,15
8a194ac03197fff,384
8a194ac0319ffff,718
8a194ac031a7fff,219
8a194ac031affff,63
8a194ac031b7fff,0
8a194ac03207fff,0
8a194ac03227fff,0
8a194ac03237fff,0
8a194ac03267fff,0
8a194ac0326ffff,0
8a194ac03307fff,0
8a194ac0330ffff,230
8a194ac03317fff,0
8a194ac0331ffff,0
8a194ac03327fff,0
8a194ac0332ffff,0
8a194ac03337fff,0
8a194ac03347fff,0
8a194ac0334ffff,0
8a194ac03357fff,94
8a194ac0335ffff,0
8a194ac03367fff,0
8a194ac0336ffff,0
8a194ac03377fff,0
8a194ac03387fff,0
8a194ac03397fff,0
8a194ac0339ffff,0
8a194ac033a7fff,0
8a194ac033affff,0
8a194ac033b7fff,0
8a194ac03407fff,0
8a194ac0340ffff,994
8a194ac03417fff,0
8a194ac0341ffff,0
8a194ac03427fff,0
8a194ac0342ffff,1069
8a194ac03437fff,0
8a194ac03447fff,6
8a194ac0344ffff,0
8a194ac03457fff,515
8a194ac0345ffff,0
8a194ac03467fff,8
8a194ac0346ffff,22
8a194ac03477fff,97
8a194ac03487fff,52
8a194ac0348ffff,0
8a194ac034a7fff,812
8a194ac034affff,0
8a194ac034c7fff,0
8a194ac034cffff,0
8a194ac034d7fff,0
8a194ac034dffff,0
8a194ac034e7fff,0
8a194ac034effff,0
8a194ac034f7fff,1564
8a194ac03507fff,0
8a194ac0350ffff,0
8a194ac03517fff,0
8a194ac0351ffff,0
8a194ac03527fff,0
8a194ac0352ffff,0
8a194ac03537fff,0
8a194ac03547fff,0
8a194ac0354ffff,383
8a194ac03557fff,0
8a194ac0355ffff,1059
8a194ac03567fff,0
8a194ac0356ffff,33
8a194ac03577fff,0
8a194ac03587fff,0
8a194ac0358ffff,78
8a194ac03597fff,0
8a194ac035a7fff,244
8a194ac035affff,60
8a194ac035b7fff,0
8a194ac03617fff,0
8a194ac03627fff,0
8a194ac03637fff,0
8a194ac03707fff,0
8a194ac0370ffff,0
8a194ac03717fff,0
8a194ac0371ffff,0
8a194ac03727fff,97
8a194ac0372ffff,0
8a194ac03737fff,0
8a194ac03747fff,0
8a194ac03757fff,0
8a194ac03767fff,0
8a194ac0376ffff,0
8a194ac03777fff,661
8a194ac03787fff,0
8a194ac0378ffff,0
8a194ac03797fff,0
8a194ac0379ffff,0
8a194ac037a7fff,0
8a194ac037affff,0
8a194ac037b7fff,0
8a194ac03807fff,73
8a194ac0380ffff,6
8a194ac03817fff,16
8a194ac0381ffff,215
8a194ac03827fff,240
8a194ac0382ffff,353
8a194ac03837fff,0
8a194ac03847fff,117
8a194ac0384ffff,0
8a194ac03857fff,28
8a194ac0385ffff,0
8a194ac03867fff,0
8a194ac0386ffff,124
8a194ac03877fff,497
8a194ac03887fff,0
8a194ac0388ffff,0
8a194ac03897fff,0
8a194ac0389ffff,0
8a194ac038a7fff,0
8a194ac038affff,0
8a194ac038b7fff,317
8a194ac038c7fff,0
8a194ac038cffff,0
8a194ac038d7fff,0
8a194ac038dffff,0
8a194ac038e7fff,8
8a194ac038effff,0
8a194ac038f7fff,0
8a194ac03907fff,645
8a194ac0390ffff,0
8a194ac03917fff,833
8a194ac0391ffff,70
8a194ac03927fff,0
